,Circle,Plan Type,Talktime,validity,Description,Price
0,Delhi NCR,Recharge,NA,NA,"Enjoy 12GB extra data, valid till your current pack validity. Pack applicable for users on Unlimited Packs and Smart Recharges.",98
1,Delhi NCR,Recharge,NA,24 Days,"3G/4G Data: 1 GB. Local, STD & Roaming Calls: Unlimited. SMS: 300 SMS",129
2,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 2 GB data, 300 National SMS for 28 days",149
3,Delhi NCR,Recharge,NA,28 Days,"Get 2 Lakh Bharti Axa Life Insurance - No medical tests, No paperwork. Also enjoy TRULY unlimited calls on any network, 2 GB data, 300 SMS for 28 days",179
4,Delhi NCR,Recharge,NA,24 Days,"3G/4G Data: 1 GB / Day. Local, STD & Roaming Calls: Unlimited. SMS: 100 SMS / Day",199
5,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 1 GB data per day, 100 National SMS/day for 28 days",219
6,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 1.5 GB data per day, 100 National SMS/day for 28 days.",249
7,Delhi NCR,Recharge,NA,NA,"Enjoy 50GB extra data, valid till your current pack validity. Pack applicable for users on Unlimited Packs and Smart Recharges.",251
8,Delhi NCR,Recharge,NA,28 Days,"Enjoy Truly unlimited calls on any network, 1.5 GB data per day, 100 National SMS/day along with HDFC Life Insurance worth 4 Lakhs for 28 days.",279
9,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 2 GB data per day, 100 National SMS/day for 28 days",298
10,Delhi NCR,Recharge,NA,28 Days,"Enjoy Amazon Prime membership with Deals, Priority delivery, Prime Video & Music. You also get 2 GB data/day, unlimited calls & 100 SMS/day",349
11,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 3 GB data per day, 100 National SMS/day for 28 days",398
12,Delhi NCR,Recharge,NA,56 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 1.5 GB data per day, 100 National SMS/day for 56 days",399
13,Delhi NCR,Recharge,NA,28 Days,Enjoy Disney+ Hotstar VIP 1 year subscription. Also get 3GB data for 28 days.,401
14,Delhi NCR,Recharge,NA,56 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, daily 2GB data and 100 SMS. Pack valid for 56 days",449
15,Delhi NCR,Recharge,NA,56 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, daily 3GB data and 100 SMS.",558
16,Delhi NCR,Recharge,NA,84 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 1.5 GB data per day, 100 National SMS/day for 84 days",598
17,Delhi NCR,Recharge,NA,84 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 2 GB data per day, 100 National SMS/day for 84 days",698
18,Delhi NCR,Recharge,NA,2 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 200 MB data for 2 days",19
19,Delhi NCR,Recharge,NA,28 Days,1000 National SMS,46
20,Delhi NCR,Recharge,38.52,28 Days,Enjoy Rs 38.52 talk time for 28 days and 100 MB Data. Pack validity 28 days.,49
21,Delhi NCR,Recharge,64,28 Days,Enjoy Rs 64 talk time for 28 days and 200 MB Data. Pack validity 28 days.,79
22,Delhi NCR,Recharge,NA,NA,"Enjoy 12GB extra data, valid till your current pack validity. Pack applicable for users on Unlimited Packs and Smart Recharges.",98
23,Delhi NCR,Recharge,NA,24 Days,"3G/4G Data: 1 GB. Local, STD & Roaming Calls: Unlimited. SMS: 300 SMS",129
24,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 2 GB data, 300 National SMS for 28 days",149
25,Delhi NCR,Recharge,NA,28 Days,"Get 2 Lakh Bharti Axa Life Insurance - No medical tests, No paperwork. Also enjoy TRULY unlimited calls on any network, 2 GB data, 300 SMS for 28 days",179
26,Delhi NCR,Recharge,NA,24 Days,"3G/4G Data: 1 GB / Day. Local, STD & Roaming Calls: Unlimited. SMS: 100 SMS / Day",199
27,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 1 GB data per day, 100 National SMS/day for 28 days",219
28,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 1.5 GB data per day, 100 National SMS/day for 28 days.",249
29,Delhi NCR,Recharge,NA,28 Days,"Enjoy Truly unlimited calls on any network, 1.5 GB data per day, 100 National SMS/day along with HDFC Life Insurance worth 4 Lakhs for 28 days.",279
30,Delhi NCR,Recharge,NA,28 Days,"3G/4G Data: 1.5 GB / Day. Local, STD & Roaming Calls: Unlimited. SMS: 100 SMS / Day. ZEE5 membership",289
31,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 2 GB data per day, 100 National SMS/day for 28 days",298
32,Delhi NCR,Recharge,NA,28 Days,"Enjoy Amazon Prime membership with Deals, Priority delivery, Prime Video & Music. You also get 2 GB data/day, unlimited calls & 100 SMS/day",349
33,Delhi NCR,Recharge,NA,84 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 6GB data & 900 SMS.",379
34,Delhi NCR,Recharge,NA,28 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 3 GB data per day, 100 National SMS/day for 28 days",398
35,Delhi NCR,Recharge,NA,56 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 1.5 GB data per day, 100 National SMS/day for 56 days",399
36,Delhi NCR,Recharge,NA,56 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, daily 2GB data and 100 SMS. Pack valid for 56 days",449
37,Delhi NCR,Recharge,NA,56 Days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, daily 3GB data and 100 SMS.",558
38,Delhi NCR,Topup,7.47,NA,Regular Talktime,10
39,Delhi NCR,Topup,14.95,NA,Regular Talktime,20
40,Delhi NCR,Topup,81.74,NA,Regular Talktime,100
41,Delhi NCR,Topup,480,NA,Regular Talktime,500
42,Delhi NCR,Topup,960,NA,Regular Talktime,1000
43,Delhi NCR,Topup,4800,NA,Regular Talktime,5000
44,Delhi NCR,Recharge,NA,28 Days,3G/4G Data: 3 GB,48
45,Delhi NCR,Recharge,NA,NA,"Enjoy 12GB extra data, valid till your current pack validity. Pack applicable for users on Unlimited Packs and Smart Recharges.",98
46,Delhi NCR,Recharge,NA,NA,"Enjoy 50GB extra data, valid till your current pack validity. Pack applicable for users on Unlimited Packs and Smart Recharges.",251
47,Delhi NCR,Recharge,NA,28 Days,Enjoy Disney+ Hotstar VIP 1 year subscription. Also get 3GB data for 28 days.,401
48,Delhi NCR,Recharge,NA,28 Days,Details: Enjoy ISD calling at discounted rates for 28 days. For country wise tariff visit www.airtel.in,18
49,Delhi NCR,Recharge,NA,1 Day,"International Roaming Incoming: Unlimited. Intl Local / Calls to India: 100 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 500 MB. Covered Countries : Australia, Bangladesh,Bhutan, Malaysia, Singapore, Sri Lanka, Thailand.",496
50,Delhi NCR,Recharge,NA,1 Day,"International Roaming Incoming: 100 minutes. Intl Local / Calls to India: 100 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 500 MB. Covered Countries : Saudi Arabia, UAE, Brazil, Iran, Iraq, Japan, Jordan, Nepal, Palestine, Qatar, Russia,Armenia.",648
51,Delhi NCR,Recharge,NA,1 Day,"International Roaming Incoming: Unlimited. Intl Local / Calls to India: 100 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 500 MB. Covered Countries : USA, UK, Canada, France, Germany, Netherlands, China, Indonesia, Hong Kong, Bahrain, Turkey, Kuwait & more countries. Visit www.airtel.in/ir",649
52,Delhi NCR,Recharge,NA,5 Days,"International Roaming Pack : 1GB data, valid for 5 days.Covered Countries: UAE, Saudi Arabia, Malaysia, USA, Sri Lanka, Singapore, Qatar, UK, Kuwait, Nepal, Bangladesh & more. Visit www.airtel.in/IR.",755
53,Delhi NCR,Recharge,NA,30 Days,"International Roaming Pack: 100mins of incoming, Local/India calls, valid for 30 days.Covered Countries :UAE, Turkey, Egypt, Malaysia, USA, Sri Lanka, Singapore, Qatar, UK, Kuwait, Nepal, Bangladesh & more. Visit www.airtel.in/IR",799
54,Delhi NCR,Recharge,NA,1 Day,"International Roaming Incoming: 100 minutes. Intl Local / Calls to India: 100 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 500 MB. Covered Countries : Oman, Nigeria, South Africa, Afghanistan, Kazakhstan, Kenya, Uganda, Zambia & more countries. Visit www.airtel.in/ir",997
55,Delhi NCR,Recharge,NA,30 Days,"International Roaming Pack : 100mins of incoming, Local/India calls, valid for 30 days.Covered Countries :UAE, Turkey, Egypt, Malaysia, USA, Sri Lanka, Singapore, Qatar, UK, Kuwait, Nepal, Bangladesh & more. Visit www.airtel.in/IR.",1199
56,Delhi NCR,Recharge,NA,10 Days,"International Roaming Incoming: Unlimited. Intl Local / Calls to India: 250 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 3 GB. Covered Countries : Australia, Bangladesh, Bhutan, Malaysia, Singapore, Sri Lanka, Thailand.",1499
57,Delhi NCR,Recharge,NA,30 Days,"International Roaming Incoming: Unlimited. Intl Local / Calls to India: 500 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 5 GB. Covered Countries : Australia, Bangladesh, Bhutan, Malaysia, Singapore, Sri Lanka, Thailand.",2499
58,Delhi NCR,Recharge,NA,10 Days,"International Roaming Incoming: 250 minutes. Intl Local / Calls to India: 250 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 3 GB. Covered Countries : Saudi Arabia, UAE, Brazil, Iran, Iraq, Japan, Jordan, Nepal, Palestine, Qatar, Russia, Armenia.",3598
59,Delhi NCR,Recharge,NA,10 Days,"International Roaming Incoming: Unlimited. Intl Local / Calls to India: 250 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 3 GB. Covered Countries : USA, UK, Canada, France, Germany, Netherlands, China, Indonesia, Hong Kong, Bahrain, Turkey, Kuwait & more countries. Visit www.airtel.in/ir",3599
60,Delhi NCR,Recharge,NA,10 Days,"International Roaming Incoming: 250 minutes. Intl Local / Calls to India: 250 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 3 GB. Covered Countries : Oman, Nigeria, South Africa, Afghanistan, Kazakhstan, Kenya, Uganda, Zambia & more countries. Visit www.airtel.in/ir",3995
61,Delhi NCR,Recharge,NA,30 Days,"International Roaming Incoming: Unlimited. Intl Local / Calls to India: 500 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 5 GB. Covered Countries : USA, UK, Canada, France, Germany, Netherlands, China, Indonesia, Hong Kong, Bahrain, Turkey, Kuwait & more countries. Visit www.airtel.in/ir",3997
62,Delhi NCR,Recharge,NA,30 Days,"International Roaming Incoming: 500 minutes. Intl Local / Calls to India: 500 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 5 GB. Covered Countries : Saudi Arabia, UAE, Brazil, Iran, Iraq, Japan, Jordan, Nepal, Palestine, Qatar, Russia,Armenia.",3998
63,Delhi NCR,Recharge,NA,10 Days,"International Roaming Incoming: Unlimited. Intl Local / Calls to India: 500 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 1 GB / Day. Covered Countries :UAE, Turkey, Egypt, Malaysia, USA, Sri Lanka, Singapore, Qatar, UK, Kuwait & more countries. Visit www.airtel.in/ir",4999
64,Delhi NCR,Recharge,NA,30 Days,"International Roaming Incoming: 500 minutes. Intl Local / Calls to India: 500 minutes. Roaming International SMS: 100 SMS. International Roaming Data: 5 GB. Covered Countries : Oman, Nigeria, South Africa, Afghanistan, Kazakhstan, Kenya, Uganda, Zambia & more countries. Visit www.airtel.in/ir",6999
